"","Acidobacteria","Actinobacteria","AD3","Armatimonadetes","Bacteria_unclassified","Bacteroidetes","BRC1","Chlamydiae","Chlorobi","Chloroflexi","Cyanobacteria","Elusimicrobia","FBP","FCPU426","Fibrobacteres","Firmicutes","Gemmatimonadetes","GN02","Nitrospirae","OD1","OP11","Planctomycetes","Proteobacteria","Spirochaetes","Tenericutes","Thermi","TM6","TM7","Verrucomicrobia","WPS.2","WS2","WS3"
"R-Bi-2",0.0229954614220877,0.257186081694402,0,0.000907715582450832,0.00968229954614221,0.216641452344932,0.000302571860816944,0.000605143721633888,0.000302571860816944,0.00635400907715582,0,0,0,0,0.000302571860816944,0.00816944024205749,0.0027231467473525,0,0.000907715582450832,0,0,0.0075642965204236,0.427836611195159,0,0,0,0.000907715582450832,0.00121028744326778,0.0347957639939486,0,0,0.000605143721633888
"R-Bi-3",0.0207583725435926,0.301134791032383,0,0.00138389150290617,0.0196512593412676,0.18156656518129,0,0.000553556601162469,0,0.00498200941046222,0.00138389150290617,0,0,0,0.000276778300581234,0.0235261555494049,0.00304456130639358,0,0,0.000276778300581234,0,0.00941046221976197,0.401882092443952,0,0,0,0,0,0.0298920564627733,0,0,0.000276778300581234
"S-B1",0.148389857708356,0.101636888841339,0.00106986198780357,0.00181876537926607,0.0222531293463143,0.124638921579116,0.000106986198780357,0.000320958596341072,0.000320958596341072,0.0300631218572804,0.000427944795121429,0.00106986198780357,0.000213972397560715,0,0,0.00192575157804643,0.035626404193859,0,0.0109125922755964,0.000213972397560715,0,0.0745693805499091,0.359045683106879,0.000213972397560715,0.000106986198780357,0,0.000106986198780357,0,0.0758532149352733,0,0.000213972397560715,0.00887985449876966
"S-B2",0.173822858328148,0.132856253889235,0.000725990458411118,0.00435594275046671,0.0352623936942543,0.0681393901680149,0.000207425845260319,0.000207425845260319,0.000311138767890479,0.0381663555278988,0.000933416303671437,0.0010371292263016,0,0,0.000622277535780958,0.00165940676208256,0.0401369010578718,0,0.0193943165318399,0.000207425845260319,0,0.0755030076747563,0.307923667288944,0,0,0.000207425845260319,0.000311138767890479,0.000829703381041278,0.0868077162414437,0,0.00010371292263016,0.0102675793403858
"S-B3",0.178195953706158,0.123155755808817,0.000530082162735224,0.00220867567806343,0.0367523632829755,0.0869334746885767,0,0.000265041081367612,0.000441735135612687,0.0356921989575051,0.000971817298347911,0.00150189946108313,8.83470271225373e-05,0,0.000883470271225373,0.000706776216980299,0.0374591394999558,0,0.0136054421768707,8.83470271225373e-05,0,0.0696174573725594,0.317254174397032,0,0,0,0.000176694054245075,0.000971817298347911,0.0827811644138175,8.83470271225373e-05,0.000176694054245075,0.00945313190211149
"S-BF-1",0.193030050083472,0.0995409015025042,0.000521702838063439,0.00281719532554257,0.0376669449081803,0.100375626043406,0.000104340567612688,0.000521702838063439,0.000730383973288815,0.0329716193656093,0.00093906510851419,0.00177378964941569,0.000521702838063439,0,0.000521702838063439,0.00156510851419032,0.0465358931552588,0,0.0140859766277129,0.000417362270450751,0,0.0647954924874791,0.308430717863105,0,0.000104340567612688,0,0.000521702838063439,0.00114774624373957,0.0801335559265442,0,0.000521702838063439,0.00970367278797997
"S-BF-2",0.162078651685393,0.101966292134831,0.00121722846441948,0.00243445692883895,0.027059925093633,0.124157303370787,0.000187265917602996,0.000374531835205993,0.000187265917602996,0.0278089887640449,0.000374531835205993,0.00280898876404494,9.36329588014981e-05,0.000187265917602996,0.000468164794007491,0.00168539325842697,0.0427902621722846,9.36329588014981e-05,0.0116104868913858,0.000187265917602996,9.36329588014981e-05,0.0776217228464419,0.327153558052434,9.36329588014981e-05,0.000187265917602996,0,0.000187265917602996,0.000561797752808989,0.0792134831460674,9.36329588014981e-05,0,0.00702247191011236
"S-BF-3",0.129304491221263,0.0913764671646135,0.00038801047628286,0.00184304976234358,0.0242506547676787,0.24017848481909,0,9.70026190707149e-05,0,0.0218255892909109,0.00038801047628286,0.00155204190513144,0.00038801047628286,9.70026190707149e-05,0.000776020952565719,0.00155204190513144,0.0365699873896595,0,0.0109612959549908,0.00019400523814143,0,0.0587835871568532,0.301969153167136,0.00019400523814143,0,0,0.000291007857212145,0.000291007857212145,0.0701328935881269,0,0.000679018333495004,0.00591715976331361
"S-BFi-1",0.166103286384977,0.135774647887324,0.000375586854460094,0.0028169014084507,0.0350234741784038,0.0944600938967136,0.000187793427230047,0.000187793427230047,0.00028169014084507,0.0393427230046948,0.000751173708920188,0.00169014084507042,0.00028169014084507,0.00028169014084507,0.000187793427230047,0.00225352112676056,0.0346478873239437,0,0.0113615023474178,0.000563380281690141,0,0.0682629107981221,0.315211267605634,0,0,9.38967136150235e-05,0.000563380281690141,0.000751173708920188,0.0824413145539906,0,9.38967136150235e-05,0.0060093896713615
"S-BFi-2",0.157644824311491,0.160148493481827,0.00112233445566779,0.00302166968833636,0.0336700336700337,0.0954847621514288,8.6333419666753e-05,0.000518000518000518,0.000259000259000259,0.0397133730467064,0.000518000518000518,0.00120866787533454,0.000259000259000259,0.000172666839333506,0.000777000777000777,0.0029353362686696,0.0413537080203747,0,0.00932400932400932,0.000345333678667012,0,0.0696710696710697,0.281446948113615,8.6333419666753e-05,0,8.6333419666753e-05,0.000431667098333765,0.00103600103600104,0.0903910903910904,0,0.000259000259000259,0.00802900802900803
"S-BFi-3",0.13462442417975,0.155212935978189,0.000470057346996334,0.0016922064491868,0.0319638995957507,0.109147315972549,0.000470057346996334,0.000658080285794867,0,0.0328100028203441,0.000376045877597067,0.000940114693992667,0.000470057346996334,0,0.0005640688163956,0.00178621791858607,0.0349722666165272,0,0.00996521575632227,0.000470057346996334,0,0.0646798909466955,0.33204850991821,0.000188022938798533,9.40114693992667e-05,0,0.000376045877597067,0.000470057346996334,0.0779355081319921,0,0.000188022938798533,0.00742690608254207
"S-Bi-1",0.171419170870805,0.143013818819917,0.000438692695766616,0.00197411713094977,0.0319148936170213,0.0857644220223733,0.000219346347883308,0.000329019521824962,0.000548365869708269,0.0375082254880456,0.00120640491335819,0.0014257512612415,0.000109673173941654,0,0.000329019521824962,0.00219346347883308,0.0363018205746874,0.000109673173941654,0.0156832638736565,0.000438692695766616,0,0.0697521386268919,0.28975652555385,0,0,0,0.000219346347883308,0.000767712217591577,0.100350954156613,0,0.000109673173941654,0.00811581487168239
"S-Bi-2",0.181353265145555,0.115066876475216,0.00137686860739575,0.0027537372147915,0.0329464988198269,0.084874114870181,9.83477576711251e-05,0.000590086546026751,0.00019669551534225,0.0384539732494099,0.000491738788355625,0.00127852084972463,0.000491738788355625,9.83477576711251e-05,0.0003933910306845,0.00177025963808025,0.0359952793076318,0,0.0156372934697089,0.0003933910306845,0.00019669551534225,0.0691384736428009,0.304583005507474,0,0,0,0.000786782061369001,0.00127852084972463,0.101003147128245,0,0.00019669551534225,0.00855625491738788
"S-Bi-3",0.161251372118551,0.154335894621295,0.000658616904500549,0.0021953896816685,0.0339187705817783,0.0779363336992316,0,0.000329308452250274,0.000439077936333699,0.0356750823271131,0.000439077936333699,0.000987925356750823,0.00021953896816685,0.000548847420417124,0.00021953896816685,0.0103183315038419,0.0300768386388584,0,0.0169045005488474,0,0,0.0611416026344676,0.300658616904501,0.000329308452250274,0.000109769484083425,0,0.000768386388583974,0.000548847420417124,0.101646542261251,0,0.00021953896816685,0.00735455543358946
"S1",0.155998103366524,0.155405405405405,0.000592697961119014,0.00355618776671408,0.0315315315315315,0.0897344713134187,0.000237079184447606,0.000237079184447606,0.000355618776671408,0.0369843527738265,0.000948316737790422,0.000948316737790422,0.000474158368895211,0.000118539592223803,0.000355618776671408,0.00248933143669986,0.0413703176861072,0,0.00960170697012802,0.000355618776671408,0,0.076339497392129,0.286510194404931,0,0,0,0.000237079184447606,0.000829777145566619,0.0960170697012802,0,0.000355618776671408,0.00841631104789
"S2",0.15595748056481,0.200460098365858,0.00087260034904014,0.0029351102649532,0.0296684118673647,0.0417261621450103,0.000475963826749167,0.000158654608916389,7.93273044581945e-05,0.0487862922417896,0.000317309217832778,0.00134856417578931,0,0,0.000634618435665556,0.00237981913374584,0.0473584007615421,0,0.0113438045375218,7.93273044581945e-05,7.93273044581945e-05,0.0827383785498969,0.273996509598604,0,0,0,7.93273044581945e-05,0.000317309217832778,0.0898778359511344,0.000158654608916389,0.000237981913374584,0.00785340314136126
"S3",0.180757026291931,0.16149138712602,0.000679963735267452,0.00283318223028105,0.0214188576609248,0.0610834088848595,0.000453309156844968,0.000793291024478694,0.000339981867633726,0.0400045330915684,0.000679963735267452,0.00192656391659112,0.000226654578422484,0,0.000339981867633726,0.00294650951949229,0.0377379873073436,0,0.0167724388032638,0.00056663644605621,0,0.088961922030825,0.276631912964642,0.000226654578422484,0,0,0.000226654578422484,0.00056663644605621,0.0941749773345422,0,0.00056663644605621,0.00759292837715322
